text,label
"Приложение прекрасный, пользоваться удобно",1
"Музыка качественный, слушаю с удовольствием",1
"Книга грязный, читать сложно",0
"Доставка быстрый, пришло вовремя",1
"Поддержка хороший, проблему решили быстро",1
"Сервис прекрасный, всё понравилось",1
🤦 Совсем не понравилось,0
"Книга ужасный, читать сложно",0
"Товар восхитительный, полностью соответствует описанию",1
"Товар ужасный, пришёл с дефектом",0
"Поддержка быстрый, проблему решили быстро",1
"Фильм некачественный, зря потратила время",0
"Ресторан восхитительный, хочу вернуться",1
"Поддержка надежный, проблему решили быстро",1
"Приложение ненадежный, постоянно вылетает",0
"Курс замечательный, много полезного и практики",1
"Книга восхитительный, рекомендую друзьям",1
"Поддержка классный, проблему решили быстро",1
"Музыка слабый, невозможно слушать",0
"Фильм аккуратный и прекрасный, я в восторге",1
"Книга замечательный, рекомендую друзьям",1
"Товар классный, полностью соответствует описанию",1
"Команда надежный, отличная работа",1
"Ресторан прекрасный, хочу вернуться",1
"Книга отличный, рекомендую друзьям",1
"Сервис некачественный, осталась недовольна",0
"Доставка медленный, курьер опоздал",0
"Плохо, всё скучный!",0
"Поддержка отвратительный, ничего не решили",0
👎 Совсем не понравилось,0
"Опыт аккуратный, остались только хорошие впечатления",1
"Ресторан слабый, разочарована визитом",0
"Сервис грязный, осталась недовольна",0
"Ресторан замечательный, хочу вернуться",1
"Ресторан ненадежный, разочарована визитом",0
"Поддержка медленный, ничего не решили",0
"Доставка ужасный, курьер опоздал",0
"Отлично, всё прекрасный!",1
"Курс надежный, много полезного и практики",1
"Товар скучный, пришёл с дефектом",0
"Команда восхитительный, отличная работа",1
"Плохо, всё грубый!",0
"Товар ужасный, пришёл с дефектом",0
"Товар отличный, полностью соответствует описанию",1
"Книга классный, рекомендую друзьям",1
🤦 Совсем не понравилось,0
"Плохо, всё отвратительный!",0
"Книга восхитительный, рекомендую друзьям",1
"Доставка надежный, пришло вовремя",1
"Ресторан хороший, хочу вернуться",1
"Отлично, всё восхитительный!",1
"Отлично, всё хороший!",1
"Книга медленный, читать сложно",0
"Команда грубый, сорвала сроки",0
"Приложение грязный, постоянно вылетает",0
"Отлично, всё замечательный!",1
"Приложение отвратительный, постоянно вылетает",0
💯 Очень понравилось,1
"Приложение отличный, пользоваться удобно",1
"Доставка быстрый, пришло вовремя",1
"Фильм качественный и замечательный, я в восторге",1
"Поддержка качественный, проблему решили быстро",1
"Фильм ненадежный, зря потратила время",0
"Плохо, всё грубый!",0
"Поддержка грязный, ничего не решили",0
"Музыка качественный, слушаю с удовольствием",1
"Команда некачественный, сорвала сроки",0
"Совсем не разочарована, только радость",1
"Сервис качественный, всё понравилось",1
"Ресторан медленный, разочарована визитом",0
"Поддержка прекрасный, проблему решили быстро",1
"Сервис отличный, всё понравилось",1
"Фильм прекрасный и отличный, я в восторге",1
🥳 Очень понравилось,1
"Отлично, всё быстрый!",1
"Команда отличный, отличная работа",1
"Поддержка ненадежный, ничего не решили",0
"Курс ненадежный, пустой и бесполезный",0
"Фильм грубый, зря потратила время",0
"Опыт отвратительный, больше не вернусь",0
✨ Очень понравилось,1
"Фильм отвратительный, зря потратила время",0
"Курс некачественный, пустой и бесполезный",0
"Товар прекрасный, полностью соответствует описанию",1
"Доставка аккуратный, пришло вовремя",1
"Доставка классный, пришло вовремя",1
"Доставка скучный, курьер опоздал",0
"Сервис слабый, осталась недовольна",0
"Опыт аккуратный, остались только хорошие впечатления",1
"Товар слабый, пришёл с дефектом",0
"Музыка грубый, невозможно слушать",0
"Опыт прекрасный, остались только хорошие впечатления",1
"Сервис отличный, всё понравилось",1
🙁 Совсем не понравилось,0
"Опыт замечательный, остались только хорошие впечатления",1
"Фильм замечательный и быстрый, я в восторге",1
"Товар отвратительный, пришёл с дефектом",0
"Книга отвратительный, читать сложно",0
"Команда классный, отличная работа",1
😡 Совсем не понравилось,0
😡 Совсем не понравилось,0
"Фильм хороший и надежный, я в восторге",1
"Не ожидала, что будет так хорошо",1
🥳 Очень понравилось,1
"Товар грубый, пришёл с дефектом",0
"Поддержка плохой, ничего не решили",0
"Команда грубый, сорвала сроки",0
👍 Очень понравилось,1
"Сервис восхитительный, всё понравилось",1
"Плохо, всё медленный!",0
"Сервис прекрасный, всё понравилось",1
"Доставка отличный, пришло вовремя",1
"Приложение некачественный, постоянно вылетает",0
"Отлично, всё восхитительный!",1
"Товар ужасный, пришёл с дефектом",0
"Книга замечательный, рекомендую друзьям",1
"Товар грубый, пришёл с дефектом",0
"Поддержка аккуратный, проблему решили быстро",1
"Сервис грубый, осталась недовольна",0
"Фильм качественный и надежный, я в восторге",1
"Плохо, всё плохой!",0
"Поддержка аккуратный, проблему решили быстро",1
"Книга ужасный, читать сложно",0
"Музыка ужасный, невозможно слушать",0
"Плохо, всё скучный!",0
"Товар хороший, полностью соответствует описанию",1
"Доставка некачественный, курьер опоздал",0
"Фильм качественный и прекрасный, я в восторге",1
"Поддержка скучный, ничего не решили",0
"Доставка ужасный, курьер опоздал",0
💯 Очень понравилось,1
"Сервис ненадежный, осталась недовольна",0
"Отлично, всё аккуратный!",1
"Доставка аккуратный, пришло вовремя",1
"Опыт быстрый, остались только хорошие впечатления",1
"Фильм отвратительный, зря потратила время",0
"Поддержка восхитительный, проблему решили быстро",1
"Сервис аккуратный, всё понравилось",1
"Ресторан некачественный, разочарована визитом",0
"Товар слабый, пришёл с дефектом",0
"Музыка быстрый, слушаю с удовольствием",1
"Сервис слабый, осталась недовольна",0
"Книга грубый, читать сложно",0
"Ресторан медленный, разочарована визитом",0
"Доставка отвратительный, курьер опоздал",0
"Сервис замечательный, всё понравилось",1
"Доставка классный, пришло вовремя",1
"Товар замечательный, полностью соответствует описанию",1
"Поддержка замечательный, проблему решили быстро",1
"Приложение некачественный, постоянно вылетает",0
"Команда восхитительный, отличная работа",1
"Команда грязный, сорвала сроки",0
"Поддержка грязный, ничего не решили",0
✨ Очень понравилось,1
"Фильм скучный, зря потратила время",0
"Доставка прекрасный, пришло вовремя",1
"Музыка грубый, невозможно слушать",0
"Сервис грязный, осталась недовольна",0
"Плохо, всё медленный!",0
🤦 Совсем не понравилось,0
"Плохо, всё слабый!",0
"Музыка грубый, невозможно слушать",0
"Приложение скучный, постоянно вылетает",0
"Товар хороший, полностью соответствует описанию",1
🤦 Совсем не понравилось,0
"Доставка отличный, пришло вовремя",1
"Приложение классный, пользоваться удобно",1
💯 Очень понравилось,1
"Курс аккуратный, много полезного и практики",1
"Фильм грязный, зря потратила время",0
"Опыт прекрасный, остались только хорошие впечатления",1
"Фильм плохой, зря потратила время",0
"Доставка слабый, курьер опоздал",0
"Команда аккуратный, отличная работа",1
"Товар некачественный, пришёл с дефектом",0
Нисколько не понравилось,0
"Команда ненадежный, сорвала сроки",0
"Товар слабый, пришёл с дефектом",0
"Музыка восхитительный, слушаю с удовольствием",1
"Приложение замечательный, пользоваться удобно",1
"Курс ненадежный, пустой и бесполезный",0
"Опыт классный, остались только хорошие впечатления",1
"Музыка грязный, невозможно слушать",0
"Команда медленный, сорвала сроки",0
"Товар восхитительный, полностью соответствует описанию",1
"Доставка аккуратный, пришло вовремя",1
"Доставка плохой, курьер опоздал",0
"Курс надежный, много полезного и практики",1
"Команда некачественный, сорвала сроки",0
😊 Очень понравилось,1
😊 Очень понравилось,1
"Фильм прекрасный и восхитительный, я в восторге",1
"Приложение отличный, пользоваться удобно",1
"Опыт плохой, больше не вернусь",0
"Книга классный, рекомендую друзьям",1
"Музыка ужасный, невозможно слушать",0
"Сервис прекрасный, всё понравилось",1
"Опыт аккуратный, остались только хорошие впечатления",1
"Команда грубый, сорвала сроки",0
"Доставка прекрасный, пришло вовремя",1
"Поддержка медленный, ничего не решили",0
"Поддержка отвратительный, ничего не решили",0
😊 Очень понравилось,1
"Книга аккуратный, рекомендую друзьям",1
"Поддержка быстрый, проблему решили быстро",1
"Доставка медленный, курьер опоздал",0
"Приложение классный, пользоваться удобно",1
"Доставка классный, пришло вовремя",1
"Плохо, всё грязный!",0
🥳 Очень понравилось,1
"Опыт восхитительный, остались только хорошие впечатления",1
"Совсем не то, что обещали",0
"Книга прекрасный, рекомендую друзьям",1
"Никакого толка, зря деньги",0
"Опыт классный, остались только хорошие впечатления",1
"Поддержка ненадежный, ничего не решили",0
"Приложение качественный, пользоваться удобно",1
"Приложение грязный, постоянно вылетает",0
"Никаких проблем, всё отлично",1
"Музыка отвратительный, невозможно слушать",0
"Приложение медленный, постоянно вылетает",0
"Сервис хороший, всё понравилось",1
"Курс классный, много полезного и практики",1
"Сервис медленный, осталась недовольна",0
"Музыка грязный, невозможно слушать",0
"Книга замечательный, рекомендую друзьям",1
"Команда ненадежный, сорвала сроки",0
"Доставка грубый, курьер опоздал",0
"Ресторан прекрасный, хочу вернуться",1
"Товар медленный, пришёл с дефектом",0
Нисколько не жалею о покупке,1
"Музыка плохой, невозможно слушать",0
"Фильм слабый, зря потратила время",0
"Курс хороший, много полезного и практики",1
"Доставка классный, пришло вовремя",1
"Книга слабый, читать сложно",0
"Опыт аккуратный, остались только хорошие впечатления",1
"Музыка плохой, невозможно слушать",0
"Сервис классный, всё понравилось",1
"Приложение некачественный, постоянно вылетает",0
"Плохо, всё ужасный!",0
"Книга восхитительный, рекомендую друзьям",1
"Товар слабый, пришёл с дефектом",0
"Книга прекрасный, рекомендую друзьям",1
"Ресторан аккуратный, хочу вернуться",1
"Плохо, всё ужасный!",0
"Поддержка грязный, ничего не решили",0
"Ресторан качественный, хочу вернуться",1
